CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	"Mode index = 7  []"	"Mode index = 8  []"	"Mode index = 9  []"	"Mode index = 10  []"	
1.02500000E+09	7.03535805E-02	3.44566423E-05	2.17554776E-07	1.23505449E-01	3.52511719E-05	1.17484159E-04	1.08369560E-02	1.70720039E-04	NaN	1.71909381E-06	
1.03000000E+09	6.97031141E-02	3.54551469E-05	2.27982159E-07	1.24393413E-01	3.89572908E-05	1.22460159E-04	1.12985170E-02	1.73150245E-04	NaN	1.86958930E-06	
1.03500000E+09	6.90776464E-02	3.64621698E-05	2.40055909E-07	1.24811223E-01	4.31042802E-05	1.27564155E-04	1.17787535E-02	1.75758411E-04	NaN	2.06624159E-06	
1.04000000E+09	6.84759449E-02	3.75132223E-05	2.51166607E-07	1.24757212E-01	4.77760659E-05	1.32801479E-04	1.22785231E-02	1.78546641E-04	NaN	2.28111003E-06	
1.04500000E+09	6.78967254E-02	3.86069026E-05	2.67036492E-07	1.24244765E-01	5.29896542E-05	1.38174532E-04	1.27987821E-02	1.81516185E-04	NaN	2.52949498E-06	
1.05000000E+09	6.73389070E-02	3.97166335E-05	2.80050162E-07	1.23301118E-01	5.88482824E-05	1.43686206E-04	1.33404836E-02	1.84676245E-04	NaN	2.83695377E-06	
1.05500000E+09	6.68013844E-02	4.08283464E-05	2.96222947E-07	1.21964765E-01	6.53856172E-05	1.49339398E-04	1.39046687E-02	1.88026376E-04	NaN	3.21960362E-06	
1.06000000E+09	6.62832730E-02	4.19678919E-05	3.12205592E-07	1.20282938E-01	7.27113979E-05	1.55136994E-04	1.44924397E-02	1.91581694E-04	NaN	3.69303617E-06	
1.06500000E+09	6.57835864E-02	4.31781875E-05	3.27170588E-07	1.18307483E-01	8.08767445E-05	1.61083170E-04	1.51049454E-02	1.95337973E-04	NaN	4.27004578E-06	
1.07000000E+09	6.53015184E-02	4.43681552E-05	3.42327957E-07	1.16092299E-01	8.99366418E-05	1.67180958E-04	1.57434036E-02	1.99303573E-04	NaN	5.07730275E-06	
1.07500000E+09	6.48362714E-02	4.55695703E-05	3.62414717E-07	1.13690120E-01	9.99185083E-05	1.73433823E-04	1.64090953E-02	2.03494924E-04	NaN	6.20311788E-06	
1.08000000E+09	6.43870084E-02	4.68021856E-05	3.81263381E-07	1.11150323E-01	1.10870642E-04	1.79845747E-04	1.71033933E-02	2.07908726E-04	NaN	7.95670262E-06	
1.08500000E+09	6.39532580E-02	4.80319914E-05	3.99617736E-07	1.08518392E-01	1.22722781E-04	1.86419984E-04	1.78276907E-02	2.12557672E-04	NaN	1.09768995E-05	
1.09000000E+09	6.35340998E-02	4.92628641E-05	4.21035459E-07	1.05833378E-01	1.35503957E-04	1.93159253E-04	1.85834914E-02	2.17452594E-04	NaN	1.75157217E-05	
1.09500000E+09	6.31290167E-02	5.05112462E-05	4.47014612E-07	1.03129175E-01	1.49007206E-04	2.00069217E-04	1.93723311E-02	2.22602431E-04	NaN	4.28559134E-05	
1.10000000E+09	6.27374221E-02	5.17770013E-05	4.66343063E-07	1.00433918E-01	1.63179968E-04	2.07152583E-04	2.01958169E-02	2.28014326E-04	NaN	9.70378799E-05	
1.10500000E+09	6.23586994E-02	5.30094739E-05	4.94666049E-07	9.77702673E-02	1.77833438E-04	2.14414642E-04	2.10555866E-02	2.33703979E-04	NaN	2.27974282E-05	
1.11000000E+09	6.19924120E-02	5.42744401E-05	5.22644024E-07	9.51564082E-02	1.92802354E-04	2.21858831E-04	2.19533652E-02	2.39681131E-04	NaN	1.28274504E-05	
1.11500000E+09	6.16378878E-02	5.54843039E-05	5.51730996E-07	9.26057344E-02	2.08113332E-04	2.29488705E-04	2.28908118E-02	2.45960577E-04	NaN	8.91559166E-06	
1.12000000E+09	6.12947626E-02	5.67073334E-05	5.80831968E-07	9.01288142E-02	2.23691130E-04	2.37310265E-04	2.38696487E-02	2.52555831E-04	NaN	6.78412942E-06	
1.12500000E+09	6.09625117E-02	5.79288312E-05	6.13825370E-07	8.77326972E-02	2.39635129E-04	2.45327700E-04	2.48915126E-02	2.59480472E-04	NaN	5.44131598E-06	
1.13000000E+09	6.06406673E-02	5.90621876E-05	6.45875713E-07	8.54219002E-02	2.56306586E-04	2.53545336E-04	2.59578767E-02	2.66751675E-04	NaN	4.48234535E-06	
1.13500000E+09	6.03287674E-02	6.02055548E-05	6.82995714E-07	8.31994258E-02	2.74132931E-04	2.61967291E-04	2.70702046E-02	2.74380838E-04	NaN	3.79797029E-06	
1.14000000E+09	6.00264653E-02	6.12923280E-05	7.22574161E-07	8.10663503E-02	2.93638280E-04	2.70601796E-04	2.82295473E-02	2.82394694E-04	NaN	3.27349493E-06	
1.14500000E+09	5.97333234E-02	6.23360780E-05	7.64900415E-07	7.90226260E-02	3.15722763E-04	2.79449463E-04	2.94366705E-02	2.90804496E-04	NaN	2.83588572E-06	
1.15000000E+09	5.94489245E-02	6.33402096E-05	8.06712574E-07	7.70671663E-02	3.41390747E-04	2.88520015E-04	3.06918133E-02	2.99636077E-04	NaN	2.46767493E-06	
1.15500000E+09	5.91729275E-02	6.42301741E-05	8.53509552E-07	7.51983872E-02	3.72193125E-04	2.97815740E-04	3.19945455E-02	3.08905339E-04	NaN	2.15943034E-06	
1.16000000E+09	5.89049363E-02	6.50720393E-05	9.06272945E-07	7.34137646E-02	4.10584414E-04	3.07344436E-04	3.33433959E-02	3.18641812E-04	NaN	1.89354670E-06	
1.16500000E+09	5.86445827E-02	6.58867783E-05	9.60311966E-07	7.17107990E-02	4.60183547E-04	3.17111378E-04	3.47358981E-02	3.28863792E-04	NaN	1.63727825E-06	
1.17000000E+09	5.83916021E-02	6.65729338E-05	1.01784896E-06	7.00865470E-02	5.26782954E-04	3.27123228E-04	3.61678090E-02	3.39599462E-04	NaN	1.41925751E-06	
1.17500000E+09	5.81455754E-02	6.71969214E-05	1.07920504E-06	6.85375818E-02	6.20744222E-04	3.37384915E-04	3.76330032E-02	3.50880324E-04	NaN	1.21716267E-06	
1.18000000E+09	5.79062374E-02	6.77266805E-05	1.14724237E-06	6.70606213E-02	7.64454311E-04	3.47905440E-04	3.91230044E-02	3.62730339E-04	NaN	1.03520523E-06	
1.18500000E+09	5.76732646E-02	6.81514916E-05	1.21897068E-06	6.56511968E-02	1.00960849E-03	3.58688312E-04	4.06263011E-02	3.75182569E-04	NaN	8.44881318E-07	
1.19000000E+09	5.74463340E-02	6.84953492E-05	1.29502102E-06	6.43015651E-02	1.51929820E-03	3.69744153E-04	4.21279152E-02	3.88272480E-04	NaN	6.79677583E-07	
1.19500000E+09	5.72252036E-02	6.87079088E-05	1.38121547E-06	6.29650503E-02	3.20969850E-03	3.81077805E-04	4.36090826E-02	4.02031874E-04	NaN	5.06567900E-07	
1.20000000E+09	5.70095253E-02	6.88233702E-05	1.47050516E-06	5.95710332E-02	1.71130848E-02	3.92699167E-04	4.50463615E-02	4.16503159E-04	NaN	3.37806873E-07	
